Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,95000144881,08/05/2013,2794,249971,249971,08/13HFS,08/05/2013,249971,500,1218,"","","",0,337.6
2,95000144881,08/05/2013,2794,249971,249971,08/13HFS,08/05/2013,249971,100,1000,"","","",337.6,0
3,95000144881,08/05/2013,2794,249971,249971,08/13HFS,08/05/2013,249971,500,3990,"","","",337.6,0
4,95000144881,08/05/2013,2794,249971,249971,08/13HFS,08/05/2013,249971,100,3990,"","","",0,337.6
1,95000144881,08/05/2013,2004,249973,249973,08/13HFS,08/05/2013,249973,500,1218,"","","",0,844.0
2,95000144881,08/05/2013,2004,249973,249973,08/13HFS,08/05/2013,249973,100,1000,"","","",844.0,0
3,95000144881,08/05/2013,2004,249973,249973,08/13HFS,08/05/2013,249973,500,3990,"","","",844.0,0
4,95000144881,08/05/2013,2004,249973,249973,08/13HFS,08/05/2013,249973,100,3990,"","","",0,844.0
1,95000144881,08/05/2013,2938,249994,249994,08/13HFS,08/05/2013,249994,500,1218,"","","",0,168.8
2,95000144881,08/05/2013,2938,249994,249994,08/13HFS,08/05/2013,249994,100,1000,"","","",168.8,0
3,95000144881,08/05/2013,2938,249994,249994,08/13HFS,08/05/2013,249994,500,3990,"","","",168.8,0
4,95000144881,08/05/2013,2938,249994,249994,08/13HFS,08/05/2013,249994,100,3990,"","","",0,168.8
1,95000144881,08/05/2013,2763,250002,250002,08/13HFS,08/05/2013,250002,500,1218,"","","",0,1181.6
2,95000144881,08/05/2013,2763,250002,250002,08/13HFS,08/05/2013,250002,100,1000,"","","",1181.6,0
3,95000144881,08/05/2013,2763,250002,250002,08/13HFS,08/05/2013,250002,500,3990,"","","",1181.6,0
4,95000144881,08/05/2013,2763,250002,250002,08/13HFS,08/05/2013,250002,100,3990,"","","",0,1181.6
1,95000144881,08/05/2013,2808,250009,250009,08/13HFS,08/05/2013,250009,500,1218,"","","",0,894.64
2,95000144881,08/05/2013,2808,250009,250009,08/13HFS,08/05/2013,250009,100,1000,"","","",894.64,0
