Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,120515,09/05/2013,2912,253609,253609,09/13G,09/05/2013,253609,300,1201,"","","",0,441.28
2,120515,09/05/2013,2912,253609,253609,09/13G,09/05/2013,253609,100,1000,"","","",441.28,0
3,120515,09/05/2013,2912,253609,253609,09/13G,09/05/2013,253609,300,3990,"","","",441.28,0
4,120515,09/05/2013,2912,253609,253609,09/13G,09/05/2013,253609,100,3990,"","","",0,441.28
1,120515,09/05/2013,2681,253610,253610,09/13G,09/05/2013,253610,300,1201,"","","",0,1323.84
2,120515,09/05/2013,2681,253610,253610,09/13G,09/05/2013,253610,100,1000,"","","",1323.84,0
3,120515,09/05/2013,2681,253610,253610,09/13G,09/05/2013,253610,300,3990,"","","",1323.84,0
4,120515,09/05/2013,2681,253610,253610,09/13G,09/05/2013,253610,100,3990,"","","",0,1323.84
1,120515,09/05/2013,2579,253611,253611,09/13G,09/05/2013,253611,300,1201,"","","",0,598.88
2,120515,09/05/2013,2579,253611,253611,09/13G,09/05/2013,253611,100,1000,"","","",598.88,0
3,120515,09/05/2013,2579,253611,253611,09/13G,09/05/2013,253611,300,3990,"","","",598.88,0
4,120515,09/05/2013,2579,253611,253611,09/13G,09/05/2013,253611,100,3990,"","","",0,598.88
1,120515,09/05/2013,2622,253612,253612,09/13G,09/05/2013,253612,300,1201,"","","",0,441.28
2,120515,09/05/2013,2622,253612,253612,09/13G,09/05/2013,253612,100,1000,"","","",441.28,0
3,120515,09/05/2013,2622,253612,253612,09/13G,09/05/2013,253612,300,3990,"","","",441.28,0
4,120515,09/05/2013,2622,253612,253612,09/13G,09/05/2013,253612,100,3990,"","","",0,441.28
1,120515,09/05/2013,2622,253613,253613,09/13G,09/05/2013,253613,300,1201,"","","",0,126.08
2,120515,09/05/2013,2622,253613,253613,09/13G,09/05/2013,253613,100,1000,"","","",126.08,0
3,120515,09/05/2013,2622,253613,253613,09/13G,09/05/2013,253613,300,3990,"","","",126.08,0
4,120515,09/05/2013,2622,253613,253613,09/13G,09/05/2013,253613,100,3990,"","","",0,126.08
1,120515,09/05/2013,2538,253614,253614,09/13G,09/05/2013,253614,300,1201,"","","",0,157.6
2,120515,09/05/2013,2538,253614,253614,09/13G,09/05/2013,253614,100,1000,"","","",157.6,0
3,120515,09/05/2013,2538,253614,253614,09/13G,09/05/2013,253614,300,3990,"","","",157.6,0
4,120515,09/05/2013,2538,253614,253614,09/13G,09/05/2013,253614,100,3990,"","","",0,157.6
1,120515,09/05/2013,2895,253615,253615,09/13G,09/05/2013,253615,300,1201,"","","",0,409.76
