Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,95000148104,08/26/2013,2794,252626-1,252626-1,08/13HFS,08/26/2013,252626-1,500,1218,"","","",0,270.08
2,95000148104,08/26/2013,2794,252626-1,252626-1,08/13HFS,08/26/2013,252626-1,100,1000,"","","",270.08,0
3,95000148104,08/26/2013,2794,252626-1,252626-1,08/13HFS,08/26/2013,252626-1,500,3990,"","","",270.08,0
4,95000148104,08/26/2013,2794,252626-1,252626-1,08/13HFS,08/26/2013,252626-1,100,3990,"","","",0,270.08
1,95000148104,08/26/2013,2004,253807,253807,08/13HFS,08/26/2013,253807,500,1218,"","","",0,844.0
2,95000148104,08/26/2013,2004,253807,253807,08/13HFS,08/26/2013,253807,100,1000,"","","",844.0,0
3,95000148104,08/26/2013,2004,253807,253807,08/13HFS,08/26/2013,253807,500,3990,"","","",844.0,0
4,95000148104,08/26/2013,2004,253807,253807,08/13HFS,08/26/2013,253807,100,3990,"","","",0,844.0
1,95000148104,08/26/2013,2663,253821,253821,08/13HFS,08/26/2013,253821,500,1218,"","","",0,270.08
2,95000148104,08/26/2013,2663,253821,253821,08/13HFS,08/26/2013,253821,100,1000,"","","",270.08,0
3,95000148104,08/26/2013,2663,253821,253821,08/13HFS,08/26/2013,253821,500,3990,"","","",270.08,0
4,95000148104,08/26/2013,2663,253821,253821,08/13HFS,08/26/2013,253821,100,3990,"","","",0,270.08
1,95000148104,08/26/2013,2938,253829,253829,08/13HFS,08/26/2013,253829,500,1218,"","","",0,337.6
2,95000148104,08/26/2013,2938,253829,253829,08/13HFS,08/26/2013,253829,100,1000,"","","",337.6,0
3,95000148104,08/26/2013,2938,253829,253829,08/13HFS,08/26/2013,253829,500,3990,"","","",337.6,0
4,95000148104,08/26/2013,2938,253829,253829,08/13HFS,08/26/2013,253829,100,3990,"","","",0,337.6
1,95000148104,08/26/2013,2808,253843,253843,08/13HFS,08/26/2013,253843,500,1218,"","","",0,742.72
2,95000148104,08/26/2013,2808,253843,253843,08/13HFS,08/26/2013,253843,100,1000,"","","",742.72,0
3,95000148104,08/26/2013,2808,253843,253843,08/13HFS,08/26/2013,253843,500,3990,"","","",742.72,0
4,95000148104,08/26/2013,2808,253843,253843,08/13HFS,08/26/2013,253843,100,3990,"","","",0,742.72
1,98000004865,08/26/2013,S2003480,249032,249032,08/13SHP,08/26/2013,249032,300,1204,"","","",0,583.84
2,98000004865,08/26/2013,S2003480,249032,249032,08/13SHP,08/26/2013,249032,100,1000,"","","",583.84,0
3,98000004865,08/26/2013,S2003480,249032,249032,08/13SHP,08/26/2013,249032,300,3990,"","","",583.84,0
4,98000004865,08/26/2013,S2003480,249032,249032,08/13SHP,08/26/2013,249032,100,3990,"","","",0,583.84
1,98000004865,08/26/2013,2096,251101,251101,08/13SHP,08/26/2013,251101,300,1204,"","","",0,1196.16
2,98000004865,08/26/2013,2096,251101,251101,08/13SHP,08/26/2013,251101,100,1000,"","","",1196.16,0
3,98000004865,08/26/2013,2096,251101,251101,08/13SHP,08/26/2013,251101,300,3990,"","","",1196.16,0
4,98000004865,08/26/2013,2096,251101,251101,08/13SHP,08/26/2013,251101,100,3990,"","","",0,1196.16
1,98000004865,08/26/2013,1426,251102,251102,08/13SHP,08/26/2013,251102,300,1204,"","","",0,256.32
2,98000004865,08/26/2013,1426,251102,251102,08/13SHP,08/26/2013,251102,100,1000,"","","",256.32,0
3,98000004865,08/26/2013,1426,251102,251102,08/13SHP,08/26/2013,251102,300,3990,"","","",256.32,0
4,98000004865,08/26/2013,1426,251102,251102,08/13SHP,08/26/2013,251102,100,3990,"","","",0,256.32
1,98000004865,08/26/2013,2599,251104,251104,08/13SHP,08/26/2013,251104,300,1204,"","","",0,1196.16
2,98000004865,08/26/2013,2599,251104,251104,08/13SHP,08/26/2013,251104,100,1000,"","","",1196.16,0
